age,annual_income,employment_type,years_employed,credit_score,existing_debt,loan_amount,loan_term,approval_status
52,68767,Unemployed,11,718,30620,69156,60,1
23,138629,Employed,5,675,52044,43811,180,1
40,40635,Employed,25,608,19854,132304,36,1
62,96900,Unemployed,23,450,6132,258955,36,1
29,54453,Employed,3,665,13304,204473,36,1
32,111068,Self-Employed,12,574,892,126516,240,1
60,32872,Unemployed,1,850,28434,213347,24,0
39,123867,Self-Employed,27,838,44337,87836,360,1
44,58605,Employed,21,655,42920,259723,12,0
44,39431,Employed,4,554,20187,226789,60,1
53,224613,Employed,17,630,66850,297761,24,1
24,23376,Employed,9,610,17443,292235,120,1
57,21030,Employed,29,743,8766,39769,60,1
38,135209,Employed,16,521,39756,184833,24,1
48,50668,Employed,18,558,18095,202950,12,0
50,23589,Employed,12,739,592,61973,180,1
21,38834,Self-Employed,8,469,28655,147559,120,0
47,78207,Self-Employed,4,413,736,55450,48,1
50,40935,Employed,12,751,8647,31339,360,1
28,81778,Employed,27,829,32647,123463,36,1
35,74482,Employed,6,699,12322,76678,240,1
57,78710,Employed,19,745,2962,232342,120,1
33,33429,Employed,28,680,12158,12166,180,1
61,54367,Employed,15,553,22113,83275,180,0
49,106740,Self-Employed,1,591,42791,140025,48,0
43,72391,Employed,14,680,21087,45509,360,1
39,46354,Employed,24,448,19927,65777,12,1
36,20003,Employed,10,750,6083,88834,180,1
63,74558,Employed,26,626,31186,162885,360,1
26,33188,Employed,13,751,16515,174007,12,1
59,42596,Self-Employed,23,599,40005,214237,24,1
26,226549,Employed,16,850,6207,275513,12,1
60,238719,Self-Employed,28,709,27454,136101,60,1
59,31520,Self-Employed,14,587,24782,90050,48,0
50,16127,Self-Employed,7,663,3929,106567,180,1
38,60365,Self-Employed,3,698,50377,60434,48,0
51,15129,Employed,6,695,2600,39937,48,1
55,36714,Self-Employed,19,650,32447,197503,120,1
59,59551,Self-Employed,18,624,52284,82528,24,1
42,45000,Employed,28,711,3766,234823,60,1
62,20148,Employed,5,724,5492,150210,12,1
26,239076,Employed,19,635,29024,153593,24,1
53,71325,Employed,13,550,12967,129481,48,0
51,55382,Employed,7,690,33203,188373,48,1
51,71571,Employed,9,850,7439,248897,60,1
28,220660,Employed,26,639,19238,69333,180,1
31,114285,Employed,20,812,78775,157458,120,1
59,88600,Employed,1,634,13263,202586,240,1
61,60137,Self-Employed,27,549,1363,16111,120,1
21,186299,Unemployed,28,443,5893,284877,48,0
55,47809,Employed,29,674,15296,138355,12,1
27,65443,Unemployed,23,745,50176,195821,120,0
31,57427,Employed,20,801,8444,137701,12,1
49,51523,Employed,18,770,3816,286254,360,1
32,19105,Employed,8,610,17849,42539,360,0
64,49124,Employed,14,801,9259,294658,36,1
61,67382,Employed,13,566,67259,132362,48,0
48,23594,Unemployed,8,607,23399,101004,360,0
63,42163,Employed,3,733,14295,84273,120,1
54,34630,Unemployed,16,635,11116,116590,240,0
59,72689,Employed,27,702,33123,269967,240,1
51,62763,Employed,16,578,16650,154336,48,0
31,22417,Employed,5,706,16404,214200,12,1
56,144439,Employed,24,850,54004,108689,60,1
52,68332,Employed,9,586,7536,289980,36,1
63,69475,Self-Employed,4,511,19188,61731,24,0
57,23804,Employed,12,600,17213,238973,360,0
40,186309,Employed,16,574,4408,98321,36,1
58,35578,Employed,29,753,33908,279497,36,1
22,23173,Self-Employed,12,575,3723,94232,180,0
58,195106,Employed,15,577,62437,123288,24,1
33,33701,Unemployed,18,616,20413,14279,24,0
25,33576,Employed,25,619,22617,121076,180,1
26,25596,Employed,18,794,4681,128859,240,1
52,46052,Self-Employed,28,715,6473,200715,180,1
53,31173,Employed,25,609,22869,72197,12,0
36,153743,Employed,23,629,11399,176765,360,1
62,30474,Employed,11,569,11060,277397,180,0
36,80577,Employed,27,546,46659,42024,360,1
36,126138,Employed,13,562,27981,270528,12,0
44,30344,Employed,0,702,24067,219706,12,0
40,29412,Employed,19,713,15564,113955,120,1
51,67735,Self-Employed,24,642,55195,159594,240,1
57,40534,Employed,18,640,36766,159957,60,1
52,28270,Employed,19,679,10423,269360,12,0
40,30573,Unemployed,2,647,10051,59153,24,0
23,28086,Unemployed,1,795,16326,290962,24,0
34,15119,Unemployed,1,757,3017,15394,24,1
31,36444,Unemployed,4,556,15016,216989,360,0
57,74506,Employed,10,650,35271,289588,360,1
35,17561,Employed,9,598,8733,297660,36,0
30,52695,Employed,26,694,32938,53013,360,1
25,57724,Self-Employed,28,732,34857,234609,60,1
42,55078,Employed,29,610,1319,91037,24,1
30,23644,Unemployed,14,625,1068,258796,36,0
32,78666,Self-Employed,25,716,57076,206936,24,1
35,19811,Employed,24,664,16840,64228,60,1
34,22264,Unemployed,5,660,2761,62379,12,0
42,23500,Self-Employed,13,808,23173,189824,240,0
63,98232,Self-Employed,22,621,50215,242902,240,1
49,20265,Self-Employed,8,713,19273,152805,48,0
50,247953,Self-Employed,19,637,32344,51069,24,1
24,51560,Self-Employed,0,573,42064,218151,240,0
54,59052,Employed,27,845,10386,289087,48,1
62,75362,Employed,26,535,19929,117623,240,0
30,30609,Self-Employed,5,674,9216,157913,36,1
62,74601,Employed,7,697,4275,144035,120,1
50,30404,Employed,14,549,25550,42087,240,0
42,31997,Employed,23,745,13891,46181,12,1
30,64228,Employed,15,767,52362,234109,12,1
56,88303,Self-Employed,10,751,71410,263047,36,1
56,80908,Employed,1,649,22755,251203,60,1
33,82704,Employed,1,527,64767,29401,36,1
59,17069,Self-Employed,27,661,8519,254211,360,0
30,59834,Employed,12,600,6412,97965,36,1
50,68161,Employed,8,650,22736,80387,120,1
61,25921,Unemployed,19,535,21425,181745,24,0
22,32523,Employed,5,636,16909,100821,12,1
37,73230,Employed,26,751,12542,260137,360,1
50,59770,Self-Employed,6,626,33829,34764,36,1
37,55882,Self-Employed,21,434,41638,155913,360,1
36,93966,Self-Employed,26,597,71871,24790,360,0
22,100806,Employed,10,626,74444,110029,120,1
43,16845,Employed,21,777,3404,200657,120,0
51,226140,Employed,20,589,68550,155393,24,1
35,89864,Employed,1,625,59541,56352,360,1
27,67710,Employed,5,746,54587,58539,120,1
49,32354,Employed,9,680,12912,122399,180,1
41,21869,Employed,14,718,2777,202347,48,1
43,22585,Employed,28,663,1503,267971,24,0
64,235019,Self-Employed,16,718,63414,27008,48,1
34,33991,Unemployed,24,638,21996,140957,60,0
37,155721,Unemployed,23,681,27154,104448,60,1
46,32687,Employed,21,738,23970,110086,180,1
49,142693,Employed,9,603,78830,277871,240,1
53,43552,Self-Employed,10,694,9739,21777,180,1
31,28297,Employed,21,748,17510,33594,60,0
34,20051,Self-Employed,9,600,2336,56736,120,1
29,66795,Unemployed,21,622,42936,183764,36,1
22,54264,Self-Employed,0,404,40788,68699,240,0
37,75340,Self-Employed,4,714,32707,14021,12,1
47,22203,Employed,13,641,6304,35152,120,1
59,17171,Employed,15,677,13720,248138,180,1
48,80000,Employed,7,713,1286,80810,180,1
57,245843,Employed,3,609,75417,88132,36,1
50,155200,Employed,1,766,59400,292516,36,1
37,46670,Employed,4,673,45978,240124,48,1
61,81750,Self-Employed,2,751,77961,189631,24,1
26,136016,Unemployed,9,487,17770,55201,48,0
46,36996,Employed,24,834,18188,227282,180,1
54,106551,Self-Employed,26,807,55341,26521,120,1
34,27009,Employed,2,730,86,277102,240,0
50,47645,Employed,4,639,13156,294921,24,0
36,34528,Employed,28,629,15711,223012,60,0
50,63582,Employed,8,437,7782,109406,120,1
41,75770,Employed,27,837,22235,159953,180,1
57,43887,Employed,17,753,14432,64895,240,1
61,58750,Employed,18,850,13453,165637,60,1
55,15521,Self-Employed,2,577,9407,268086,24,0
25,44740,Employed,24,461,14617,85639,12,0
57,42315,Employed,0,625,8523,254276,120,1
57,115268,Self-Employed,17,510,43882,274990,36,0
35,124895,Employed,24,602,20581,9426,240,1
58,49240,Self-Employed,22,509,46671,220370,120,0
53,235404,Employed,20,592,11254,167624,360,1
47,210287,Employed,3,648,20288,277683,180,0
57,37031,Employed,16,705,33812,216090,360,1
39,53759,Self-Employed,20,659,2028,162740,48,1
48,217073,Employed,13,727,31714,204722,180,1
48,67462,Unemployed,5,707,55471,196997,36,0
22,78313,Employed,4,600,70439,245562,24,0
47,21722,Unemployed,6,685,16931,213466,36,0
57,76559,Self-Employed,26,554,72410,281463,180,0
40,38909,Self-Employed,25,416,17270,148071,360,0
47,210655,Employed,5,642,45332,232030,180,1
59,86249,Employed,19,666,48128,140163,180,1
54,188415,Employed,14,712,41053,136739,48,1
25,83061,Employed,6,678,48207,223810,240,1
51,33689,Employed,21,593,30632,258817,180,1
62,25499,Employed,29,769,13952,166258,240,1
44,42920,Employed,26,620,6111,15919,360,1
44,50533,Unemployed,7,585,16674,43506,36,0
51,64557,Employed,3,600,64514,178008,12,0
39,43815,Employed,15,591,26905,149628,60,1
44,40021,Self-Employed,16,718,30684,275680,24,1
49,39461,Employed,11,765,15073,59423,120,1
38,73053,Employed,17,738,24932,254486,24,1
55,104026,Self-Employed,19,645,21043,22422,240,1
52,201004,Employed,22,533,49334,177652,360,0
63,112151,Unemployed,17,684,60010,15531,60,0
41,19262,Self-Employed,8,700,11727,139700,36,0
60,16526,Employed,8,535,14071,136448,360,0
24,29937,Self-Employed,24,798,18867,51686,48,1
58,34083,Employed,26,572,31111,183848,48,0
40,138773,Employed,1,801,53785,102620,24,1
21,52021,Employed,5,523,43049,49976,360,0
30,22355,Employed,11,725,8429,61615,180,0
53,67737,Employed,9,593,4284,41303,36,1
44,58415,Employed,4,706,15505,263535,360,1
26,22306,Employed,20,730,21058,19977,24,1
32,39611,Employed,23,665,5945,289023,120,1
60,111658,Employed,7,792,20945,250563,12,1
56,86321,Self-Employed,25,631,55946,180412,48,0
47,44474,Employed,28,657,636,267943,240,1
47,65755,Self-Employed,8,618,45297,231210,180,1
58,87576,Employed,4,494,22911,162062,24,0
45,176076,Self-Employed,25,460,52255,108056,360,1
62,16102,Self-Employed,27,693,10568,204115,360,0
59,138101,Employed,22,712,57019,85396,12,0
40,37173,Employed,6,490,12960,266115,120,1
60,27954,Employed,4,611,9480,103572,240,1
46,169147,Employed,11,641,29398,80330,24,1
30,89582,Self-Employed,19,655,29806,142121,60,1
24,33934,Employed,1,765,385,35344,48,1
35,76285,Employed,26,728,26980,69752,12,1
46,78510,Self-Employed,4,640,57122,276909,24,0
56,234621,Self-Employed,3,734,30851,235918,24,1
27,24623,Employed,27,570,24479,60805,24,0
58,170330,Unemployed,23,604,30057,272909,60,0
36,31016,Employed,2,618,30727,106692,48,0
43,138069,Unemployed,1,798,2751,242549,240,1
53,65120,Employed,10,622,35774,289368,120,1
47,218865,Employed,8,671,36800,85223,120,1
39,103006,Employed,20,777,42237,42996,36,1
57,155933,Employed,28,515,22112,36100,240,1
27,40287,Self-Employed,25,636,21102,68673,36,1
52,79541,Self-Employed,27,660,9549,231732,24,1
42,198872,Employed,7,703,65610,198669,240,1
63,60075,Unemployed,20,850,51242,207236,360,1
39,242703,Employed,29,760,68237,78023,120,1
62,77479,Self-Employed,7,631,74167,182431,360,1
41,80460,Self-Employed,6,680,30778,21399,240,1
62,83996,Unemployed,3,593,13605,210244,12,1
31,163972,Employed,3,673,1760,294836,360,1
53,86195,Self-Employed,17,689,76647,104714,48,1
62,28460,Employed,23,503,1838,174488,24,1
24,23185,Employed,19,585,5878,53709,48,0
60,37163,Employed,8,650,11722,153132,240,1
41,178577,Self-Employed,25,691,27943,65797,180,1
35,37984,Employed,29,543,12335,245978,180,0
64,25442,Employed,27,687,8325,173891,48,1
61,37715,Self-Employed,1,571,32369,104258,12,0
58,61949,Unemployed,11,729,18180,75821,48,0
46,26323,Employed,9,564,11148,180477,24,0
60,76981,Self-Employed,21,850,48533,101755,36,1
39,18091,Employed,29,582,4776,161262,48,1
59,39791,Employed,20,736,26714,99522,12,1
63,217804,Employed,12,451,17678,232822,360,1
56,44981,Employed,10,454,33641,66758,360,1
50,34500,Self-Employed,11,572,15941,62728,240,1
53,105719,Employed,19,716,73704,275253,120,0
59,20520,Self-Employed,9,660,4178,21551,360,1
44,35491,Self-Employed,14,550,34557,58254,36,1
22,83513,Employed,8,693,900,245966,360,1
29,80299,Employed,11,758,15441,55906,12,1
44,44758,Employed,21,568,6842,208666,360,1
41,74990,Employed,26,568,14084,146980,60,1
55,49245,Employed,9,605,26649,81159,240,1
44,42784,Employed,6,560,38270,214294,12,0
62,39277,Unemployed,8,618,35889,61037,180,1
45,55684,Self-Employed,17,681,33788,181912,12,1
23,148758,Self-Employed,5,552,57352,299087,120,0
31,23970,Employed,12,534,10804,166527,120,0
60,35701,Employed,9,635,27618,134508,24,1
52,73537,Employed,11,733,21014,94618,48,1
52,68505,Self-Employed,27,657,53194,129343,240,1
38,44471,Self-Employed,26,502,15434,106581,48,1
64,170544,Unemployed,28,705,27504,36713,120,1
56,54958,Employed,27,529,6199,284624,240,0
47,15193,Employed,2,700,1626,283226,180,1
32,29780,Self-Employed,1,684,28457,58025,60,0
46,67282,Employed,15,532,24434,144130,12,1
31,73243,Self-Employed,23,698,64843,7210,60,1
36,34753,Employed,19,578,30259,54801,360,1
62,187747,Unemployed,6,661,28125,127587,24,0
44,73370,Self-Employed,5,688,47759,79715,12,1
42,196535,Employed,28,651,6611,57579,120,1
37,18985,Employed,10,482,1949,289021,180,0
35,37501,Employed,28,762,28196,133287,48,1
35,36576,Employed,11,702,22818,291905,60,1
34,83633,Unemployed,10,610,654,201649,60,1
52,176686,Employed,2,589,41179,91879,12,1
33,82095,Self-Employed,10,733,5911,49835,36,1
50,78933,Employed,14,606,51467,25309,180,0
62,71264,Employed,11,634,64239,87549,240,0
34,23641,Employed,7,717,23212,65739,48,1
54,49205,Employed,15,478,10761,155960,180,0
62,157500,Unemployed,0,762,32465,106041,120,0
34,82912,Employed,17,528,55935,164396,180,1
21,205206,Employed,21,631,43838,78830,360,1
41,17450,Employed,23,597,15010,153798,240,1
23,35484,Employed,19,811,25499,145104,36,1
61,19723,Employed,21,727,7598,12821,180,0
48,24642,Self-Employed,21,604,12005,98976,120,1
46,28465,Employed,12,660,20097,131821,24,0
42,89304,Employed,9,553,69326,241272,36,1
56,85051,Self-Employed,26,692,40754,199683,360,1
36,73096,Employed,11,776,30882,189469,60,1
23,49800,Self-Employed,2,660,13906,20289,24,0
27,30331,Self-Employed,27,713,20645,60016,360,1
39,46380,Self-Employed,26,725,39869,137846,180,1
38,67330,Employed,0,673,3603,155800,12,1
53,80986,Unemployed,19,650,56753,74501,36,1
60,114503,Employed,24,767,52753,162747,60,1
32,26984,Self-Employed,6,485,10314,95976,12,1
59,52030,Self-Employed,6,624,36452,135885,48,0
48,43428,Self-Employed,7,739,19096,265281,36,1
22,139387,Employed,0,640,76618,230127,12,0
40,97814,Self-Employed,2,484,53651,238420,180,0
41,29091,Employed,3,524,11216,176462,180,0
30,24077,Employed,21,687,8325,279643,120,1
57,80370,Employed,4,637,9947,119251,240,1
23,87438,Employed,19,782,38529,178020,12,1
64,218350,Self-Employed,2,558,57872,92516,240,1
34,91148,Employed,19,594,65540,75455,120,1
29,49758,Self-Employed,8,638,3372,157995,24,1
41,67922,Employed,25,539,12154,102001,180,0
45,24725,Employed,20,514,15015,224539,60,0
38,223108,Self-Employed,13,455,23951,298526,180,0
39,59213,Self-Employed,28,626,11521,106381,24,1
24,48002,Employed,19,509,4708,158912,60,0
61,40227,Unemployed,12,702,11958,255376,48,1
30,80064,Employed,26,549,62852,73710,24,1
23,37333,Unemployed,11,674,11131,213131,240,1
40,16864,Self-Employed,21,575,12672,75676,36,0
60,82972,Employed,25,740,4020,46004,36,1
62,38776,Unemployed,0,794,1578,31315,240,0
42,82528,Employed,11,622,36295,214770,36,1
32,130072,Unemployed,20,759,73120,149450,24,1
37,64580,Employed,14,722,30717,72241,120,1
30,74964,Employed,19,444,64684,135764,360,1
44,97113,Self-Employed,20,627,887,122613,12,1
56,154143,Self-Employed,24,729,58270,286200,12,1
31,247349,Employed,16,796,16679,86845,360,1
63,74264,Self-Employed,23,756,73461,149905,120,1
45,73697,Employed,28,649,33485,22041,48,1
51,95536,Self-Employed,14,768,54631,97124,120,1
45,71501,Employed,18,565,13599,212672,60,1
61,69614,Unemployed,28,714,46703,47178,360,1
22,30378,Unemployed,0,658,16751,218403,120,0
50,71139,Employed,14,670,70903,116786,36,1
35,44166,Employed,17,628,11138,276106,48,1
43,22638,Employed,20,543,17892,10165,120,0
50,70611,Employed,28,713,50422,198837,48,1
31,106964,Unemployed,25,635,30565,48397,48,1
32,129401,Employed,6,767,56312,92479,360,1
48,36962,Employed,3,648,30968,186168,180,1
63,29981,Employed,26,619,8431,41022,120,1
50,44392,Employed,21,707,8175,210848,36,1
23,89827,Employed,27,511,16812,95609,60,1
56,65634,Employed,12,749,29445,244369,240,1
22,76924,Employed,22,765,44908,106095,48,1
40,22073,Employed,8,694,4036,206144,24,1
43,39308,Employed,9,511,6720,74184,120,0
64,45511,Employed,1,780,18446,150748,360,1
58,104095,Unemployed,12,700,16013,61248,24,1
39,164774,Employed,16,629,73756,229338,36,0
54,69773,Employed,16,794,53319,88949,12,1
63,18244,Unemployed,2,559,12932,234697,240,0
24,133054,Employed,8,662,8494,84770,48,0
47,85919,Employed,16,360,70668,31532,240,0
40,42915,Employed,5,643,19933,223613,24,0
46,40080,Employed,26,709,25747,172400,24,1
59,80541,Employed,22,629,21983,87596,60,1
25,60606,Unemployed,7,606,12164,36018,12,0
64,16975,Self-Employed,17,771,9452,209005,180,0
63,22719,Employed,29,627,14412,78992,240,0
47,69928,Self-Employed,10,499,45741,86019,120,0
51,19258,Employed,4,626,15230,261385,48,0
32,64041,Self-Employed,20,681,56605,37805,120,0
64,28780,Self-Employed,16,745,1328,208001,24,1
22,103883,Employed,20,707,64048,192343,12,1
47,22146,Employed,9,573,3338,127865,120,0
52,40869,Employed,29,779,685,239403,180,1
61,193419,Self-Employed,13,714,60914,134659,24,1
43,67716,Employed,0,731,17086,11255,240,0
62,22127,Unemployed,3,771,4347,30607,180,1
52,87245,Employed,18,831,47048,175619,240,1
41,79844,Self-Employed,4,503,60855,245308,360,0
44,182064,Employed,26,832,26590,69641,180,1
46,32086,Employed,20,630,28968,44680,60,0
46,61596,Self-Employed,20,678,22000,131347,120,0
60,66872,Self-Employed,20,623,43207,20150,12,1
35,84067,Employed,0,850,9062,71045,24,1
53,226082,Employed,15,737,37339,279735,360,1
38,59538,Employed,14,542,55148,55828,120,0
22,69660,Employed,21,603,51754,157623,120,0
47,32864,Self-Employed,1,611,19330,230292,60,0
40,37755,Self-Employed,5,567,3555,288327,240,0
37,65587,Self-Employed,27,615,58066,120126,12,0
40,204337,Employed,15,544,11454,132265,48,1
58,16453,Unemployed,1,521,12641,166452,36,0
58,15404,Self-Employed,25,594,11765,35080,120,0
52,72688,Employed,9,732,38036,128354,120,1
28,38780,Employed,28,731,24758,165682,12,1
33,31469,Employed,12,642,17784,41248,60,0
62,40724,Employed,9,671,35348,24323,36,1
45,87003,Self-Employed,24,696,60726,251401,12,1
23,25963,Self-Employed,17,706,11403,293209,180,0
62,49282,Employed,29,633,5434,273604,36,0
25,106213,Employed,1,530,45909,96276,36,1
52,174110,Unemployed,5,717,55968,137973,48,1
56,21017,Unemployed,26,650,770,127868,120,1
54,38830,Unemployed,12,815,34364,228164,180,0
23,32218,Employed,23,569,27925,213689,120,0
38,191135,Employed,28,774,73067,92232,120,1
59,41608,Self-Employed,7,762,697,90975,36,1
45,75257,Employed,7,512,17176,162723,240,1
30,80273,Employed,29,620,54662,54429,48,1
29,88438,Employed,26,667,52717,254578,36,1
45,55013,Employed,15,626,33934,291412,12,1
45,73511,Employed,23,694,46315,249703,12,1
28,72270,Employed,23,427,59531,162268,240,0
32,33672,Unemployed,5,642,8111,19208,36,1
43,28523,Employed,3,576,15706,54391,120,0
32,148487,Self-Employed,8,473,39182,181097,48,1
64,87045,Employed,27,696,2899,187532,12,1
55,125516,Employed,21,695,56225,31287,12,1
64,192405,Self-Employed,17,637,25654,124976,360,1
64,23604,Self-Employed,8,619,22760,15769,12,0
57,36534,Employed,0,592,1664,142668,360,0
59,217162,Employed,2,632,45530,157310,120,1
28,59675,Unemployed,23,446,20517,26144,120,1
22,47703,Employed,25,788,2908,65230,360,1
36,64939,Employed,29,613,60191,165278,12,1
49,69870,Self-Employed,19,522,19604,64799,48,0
57,95152,Employed,29,613,36668,130044,360,1
55,18857,Employed,12,655,16273,134611,120,1
53,22621,Self-Employed,17,647,2695,198927,180,1
57,71565,Employed,21,760,29460,34796,120,1
40,73768,Employed,16,624,36964,44231,24,1
43,54691,Self-Employed,6,712,40238,102828,360,1
50,78211,Unemployed,2,650,72790,206464,360,0
43,86508,Employed,16,517,68548,253715,36,1
39,74139,Employed,27,496,63146,48401,240,1
40,34622,Unemployed,25,850,1432,83246,120,1
32,54945,Self-Employed,8,590,45729,253025,48,0
34,31591,Employed,9,661,15806,131457,360,1
29,215506,Employed,24,592,58133,56777,60,1
33,204499,Self-Employed,1,573,62482,156298,48,0
46,24930,Employed,13,656,9180,197928,48,1
64,79586,Employed,18,545,79213,34535,240,0
21,142266,Self-Employed,18,457,51345,147847,48,0
44,26826,Self-Employed,28,714,26416,208523,12,1
49,47918,Employed,27,647,45885,268116,24,1
40,33715,Employed,28,691,32107,188177,60,0
60,18305,Self-Employed,13,618,13348,224509,180,1
38,15993,Employed,7,695,1756,76064,240,1
47,17892,Self-Employed,11,678,13759,292261,120,0
23,173092,Self-Employed,3,609,29554,256515,180,1
46,54279,Employed,6,658,46246,189868,24,1
26,26515,Employed,12,704,1922,39754,180,1
48,54313,Employed,11,850,15991,105874,60,1
46,61494,Unemployed,25,678,40312,74246,60,0
28,29500,Self-Employed,3,442,19952,169211,60,0
48,87707,Employed,1,692,25202,51352,60,1
36,59019,Employed,10,548,22382,123428,12,0
39,18834,Employed,20,580,18795,178347,60,0
43,40425,Employed,7,737,7533,133081,180,1
56,27140,Self-Employed,11,675,13553,284730,60,0
30,28817,Employed,0,679,974,207979,360,1
34,63588,Employed,4,788,57600,268384,180,1
50,231650,Employed,25,758,68938,287810,360,1
39,225746,Employed,14,728,42339,278834,240,1
54,18608,Employed,15,442,15120,228749,180,0
58,63167,Employed,22,788,51169,88138,180,1
25,68257,Employed,23,740,39044,209177,120,1
36,57137,Employed,28,651,8736,237282,120,1
25,32545,Employed,3,682,29811,185131,36,1
30,15656,Employed,10,689,11299,31009,240,1
33,194301,Unemployed,15,516,31619,162126,60,1
35,25161,Employed,24,656,24736,119084,120,0
33,34862,Employed,11,755,13318,193661,24,1
50,33951,Employed,29,684,23668,136817,240,0
26,26779,Employed,20,581,15181,169523,12,0
44,71051,Self-Employed,16,850,36183,174949,12,1
28,37786,Employed,29,752,33627,50494,180,1
58,48653,Employed,11,724,23566,61666,48,1
36,85809,Employed,11,623,20057,13357,36,1
25,239813,Employed,2,647,78740,176140,48,1
28,85207,Self-Employed,12,714,31725,134457,180,1
43,60943,Employed,13,740,48343,193109,48,1
23,21213,Employed,17,602,20477,163205,60,0
46,64058,Unemployed,5,611,41812,24965,60,1
33,63042,Self-Employed,23,624,22568,49362,12,1
55,37850,Employed,12,468,29239,35979,240,1
27,39200,Employed,2,770,10166,67840,36,1
63,89978,Employed,8,685,64080,125891,360,1
25,20886,Employed,21,524,14361,211307,360,1
58,226631,Employed,11,645,52003,104449,36,1
27,159580,Self-Employed,16,676,79535,9323,240,0
40,25972,Self-Employed,16,688,7747,149643,24,1
30,65864,Employed,16,576,21080,84891,360,0
33,70769,Employed,9,695,17739,177026,12,1
21,34822,Self-Employed,7,571,10792,279742,180,0
32,60208,Employed,25,670,51118,49604,240,1
38,230643,Employed,16,738,33977,182088,180,1
23,80813,Self-Employed,21,850,67073,264470,24,1
51,62195,Unemployed,22,681,28853,166682,240,0
45,30207,Employed,4,423,12595,6699,36,1
44,33469,Employed,8,696,32247,123698,60,1
28,31609,Employed,10,653,12496,256822,36,1
23,41450,Employed,5,594,39393,178051,60,0
55,85489,Unemployed,16,669,10304,17862,48,1
57,198794,Self-Employed,26,629,72948,219239,180,1
54,73465,Employed,5,744,30445,172653,360,1
36,66926,Employed,13,576,14389,263125,180,1
64,26961,Employed,29,517,1859,63694,36,1
25,40166,Employed,21,567,36169,151365,24,0
51,70246,Self-Employed,26,794,24501,191566,12,1
34,35329,Employed,23,606,18618,186837,12,1
27,68786,Self-Employed,13,688,67346,285884,24,1
21,34890,Employed,28,588,30537,131095,120,0
35,28186,Employed,23,831,3853,219716,36,1
61,68080,Self-Employed,12,647,20481,20993,120,0
43,234322,Self-Employed,3,651,9571,191139,24,1
48,228178,Employed,21,643,16463,70464,60,1
50,24768,Employed,16,681,19700,269128,360,1
32,46600,Employed,15,583,14962,61891,240,1
54,46677,Employed,11,599,33133,273055,12,1
62,56985,Employed,5,686,18492,161671,120,1
41,42075,Unemployed,10,695,34024,62539,12,1
51,72808,Unemployed,21,566,8691,237429,180,1
48,112226,Employed,18,799,53137,248824,60,1
36,39827,Employed,3,530,770,165797,24,0
63,51073,Employed,15,691,3341,160182,24,1
39,69288,Employed,16,622,60255,245733,120,1
30,16495,Employed,4,669,408,152818,12,0
23,84325,Employed,4,691,54538,242430,24,1
55,172220,Self-Employed,8,541,31417,146568,36,0
32,90343,Self-Employed,23,598,54963,33773,120,0
53,40489,Employed,29,704,25203,194586,120,1
54,87966,Self-Employed,28,569,60088,148936,48,0
52,85996,Self-Employed,17,733,34411,196215,36,1
40,36809,Employed,13,529,22624,139610,36,0
26,66744,Employed,19,595,37046,200690,36,0
28,54916,Self-Employed,2,626,38840,120783,48,1
42,81732,Employed,12,622,65106,286566,180,0
56,33058,Self-Employed,24,735,12261,123198,120,1
56,165103,Employed,1,681,68285,247218,24,0
42,19403,Employed,7,821,2024,139053,180,0
61,71112,Employed,22,641,43856,157499,60,1
43,35036,Employed,0,644,28190,293519,180,0
27,28216,Unemployed,6,656,26033,251413,120,1
30,50730,Unemployed,2,777,50499,196965,180,0
52,209139,Employed,26,423,14945,188044,360,1
23,57185,Employed,0,673,22013,182500,12,1
58,86888,Self-Employed,17,625,10719,162110,180,1
46,80774,Employed,6,494,6565,166244,12,1
34,48881,Employed,28,669,44706,74498,24,1
56,68500,Self-Employed,21,688,6977,195765,48,1
56,87566,Employed,21,570,62616,73182,180,1
32,215790,Self-Employed,18,756,61610,43540,48,1
41,67245,Employed,16,611,43952,125737,24,1
58,67978,Employed,13,616,29263,68537,180,1
44,38646,Self-Employed,3,649,33508,276642,360,0
45,81392,Self-Employed,0,442,28874,42551,24,0
54,27305,Employed,20,584,15685,148380,60,0
61,23927,Unemployed,24,656,5932,85238,48,1
48,83617,Self-Employed,2,672,73989,266799,180,0
25,225940,Employed,9,621,8484,199949,48,1
48,19879,Employed,20,633,17090,184552,240,1
56,40740,Self-Employed,29,715,175,215262,360,1
52,37322,Employed,14,566,11966,235165,12,1
39,41117,Self-Employed,15,698,11036,150770,240,1
44,143893,Employed,18,712,5817,184611,240,1
36,86528,Self-Employed,11,641,15658,63477,12,1
57,16809,Employed,24,425,2821,222599,12,0
52,69015,Self-Employed,18,729,7147,271380,180,1
29,29861,Employed,24,584,13528,116646,180,0
53,84208,Employed,29,660,12119,82425,60,1
48,65986,Self-Employed,20,671,7218,244669,12,1
63,33929,Employed,26,574,6371,188268,24,0
42,81355,Employed,6,575,21044,218783,180,1
34,35970,Unemployed,21,692,12839,120930,48,1
54,79215,Self-Employed,1,589,56305,198476,60,1
58,22521,Employed,13,643,2414,206034,60,1
22,52170,Employed,15,840,5085,31361,48,0
27,71804,Unemployed,29,576,49464,271003,120,0
56,55524,Employed,18,649,50959,244101,120,1
53,76190,Self-Employed,20,729,35595,167040,60,1
29,32519,Employed,26,721,3503,230134,180,1
